Kabupaten/Kota,2021_L,2022_L,2023_L,2021_P,2022_P,2023_P
Bogor,2820924,2859683,2898252,2668612,2707155,2745586
Sukabumi,1403368,1425852,1448336,1358108,1380812,1403554
Cianjur,1285980,1304067,1322079,1220702,1238726,1256711
Bandung,1869009,1895139,1921154,1797147,1823521,1849837
Garut,1334360,1345400,1356194,1270427,1281820,1293004
Tasikmalaya,955175,966287,977285,928558,940001,951355
Ciamis,619657,624475,629173,618069,623293,628410
Kuningan,598254,605970,613632,582137,590047,597921
Cirebon,1161865,1173871,1185704,1129102,1141546,1153851
Majalengka,662951,671015,679009,656014,664445,672819
Sumedang,585251,588935,592494,574095,578098,581991
Indramayu,930838,940803,950637,920545,931029,941406
Subang,806525,814170,821681,802069,810216,818250
Purwakarta,513567,522076,530593,497899,506493,515111
Karawang,1250585,1268737,1286831,1217991,1236510,1255010
Bekasi,1603356,1631660,1660049,1554606,1583131,1611789
Bandung Barat,925999,942395,958841,888227,904574,920999
Pangandaran,214120,216434,218718,213494,215946,218376
Kota Bogor,533774,539250,544647,518585,524263,529875
Kota Sukabumi,176582,179344,182104,174222,177066,179914
Kota Bandung,1235134,1239053,1242674,1217809,1222500,1226915
Kota Cirebon,169066,171202,173322,167798,170033,172256
Kota Bekasi,1291982,1304296,1316399,1272959,1285961,1298783
Kota Depok,1052652,1071173,1089748,1033283,1052176,1071157
Kota Cimahi,288362,290081,291738,283270,285154,286980
Kota Tasikmalaya,367563,372285,376974,356358,361182,365984
Kota Banjar,102081,103573,105059,101336,102884,104434
Provinsi Jawa Barat,24758980,25067226,25373327,24023422,24338582,24652278
