Wilayah Jawa Barat,2021,2022,2023
Provinsi Jawa Barat,12951170,13113409,13273294
Bogor,1362226,1381734,1401318
Sukabumi,742642,754291,765722
Cianjur,679231,688465,697418
Bandung,939812,953267,966456
Garut,650096,655467,660627
Tasikmalaya,524460,530436,536222
Ciamis,368192,370935,373505
Kuningan,301470,305336,309121
Cirebon,604271,610593,616780
Majalengka,387399,392067,396620
Sumedang,344824,347049,349178
Indramayu,538578,544369,550023
Subang,456960,461133,465100
Purwakarta,264847,269266,273667
Karawang,659659,669280,678799
Bekasi,850135,865829,881763
Bandung Barat,475931,484301,492600
Pangandaran,127204,128537,129818
Kota Bogor,259121,261868,264578
Kota Sukabumi,89263,90689,92116
Kota Bandung,654898,657197,659343
Kota Cirebon,86174,87292,88403
Kota Bekasi,658090,664586,670981
Kota Depok,528111,537583,547091
Kota Cimahi,153772,154741,155678
Kota Tasikmalaya,187530,190003,192461
Kota Banjar,56274,57095,57906
