"wilayah","harapan_hidup_2021_L","harapan_hidup_2022_L","harapan_hidup_2021_P","harapan_hidup_2022_P","pengeluaran_semua_2021","pengeluaran_semua_2022","pengeluaran_makanan_2021","pengeluaran_makanan_2022","jumlah_pdk_2021_L","jumlah_pdk_2022_L","jumlah_pdk_2021_P","jumlah_pdk_2022_P","jumlah_rumtang_2021","jumlah_rumtang_2022","jumlah_dokter_2021","jumlah_dokter_2022","kepadatan_pdk_2021","kepadatan_pdk_2022","garis_kemiskinan_2021","garis_kemiskinan_2022"
Kabupaten Bogor,69.52,69.72,73.25,73.54,1220669,1377576,612364,709091,2820924,2859683,2668612,2707155,1362226,1381734,441,596,1965,1830,418483,443787
Kabupaten Sukabumi,69.27,69.53,73.13,73.47,1018783,1034412,587138,629476,1403368,1425852,1358108,1380812,742642,754291,204,173,653,663,342094,357636
Kabupaten Cianjur,68.45,68.62,72.23,72.5,959447,867547,556468,508099,1285980,1304067,1220702,1238726,679231,688465,256,90,635,690,387631,406829
Kabupaten Bandung,71.94,72.14,75.52,75.81,1210944,1169603,620475,570272,1869009,1895139,1797147,1823521,939812,953267,163,247,2055,2130,378819,398884
Kabupaten Garut,69.74,69.74,73.48,73.74,831102,858077,503987,522212,1334360,1345400,1270427,1281820,650096,655467,68,98,855,890,320050,335134
Kabupaten Tasikmalaya,67.78,67.97,71.59,71.88,884303,985340,498169,588690,955175,966287,928558,940001,524460,530436,36,32,731,717,333909,347917
Kabupaten Ciamis,70.19,70.39,73.91,74.2,1021571,1201396,570810,653024,619657,624475,618069,623293,368192,370935,72,63,893,794,389676,405294
Kabupaten Kuningan,71.98,72.18,75.61,75.87,1211685,1100726,668911,621212,598254,605970,582137,590047,301470,305336,115,125,1079,1021,358069,371665
Kabupaten Cirebon,70.34,70.54,74.07,74.37,1016767,1135006,566213,636984,1161865,1173871,1129102,1141546,604271,610593,311,321,2402,2239,404635,416914
Kabupaten Majalengka,68.58,68.79,72.37,72.68,1095739,1029656,609659,555269,662951,671015,656014,664445,387399,392067,58,63,1099,1007,466813,483319
Kabupaten Sumedang,70.77,70.95,74.49,74.78,1144317,1333296,617521,686681,585251,588935,574095,578098,344824,347049,47,69,767,758,360054,371870
Kabupaten Indramayu,70.01,70.24,73.72,74.04,1248638,1254515,732021,773639,930838,940803,920545,931029,538578,544369,144,126,924,921,481754,499805
Kabupaten Subang,70.78,71.03,74.44,74.79,1154420,1230677,650018,648749,806525,814170,802069,810216,456960,461133,88,107,843,747,360691,372308
Kabupaten Purwakarta,69.31,69.5,73.08,73.37,1400487,1240484,725561,678666,513567,522076,497899,506493,264847,269266,155,180,1213,1028,387754,403663
Kabupaten Karawang,70.5,70.69,74.21,74.5,1242403,1276826,650009,671524,1250585,1268737,1217991,1236510,659659,669280,313,319,1457,1312,494201,521158
Kabupaten Bekasi,71.99,72.17,75.63,75.87,1588582,1754664,788434,818803,1603356,1631660,1554606,1583131,850135,865829,535,556,2468,2516,549875,579221
Kabupaten Bandung Barat,70.7,70.88,74.39,74.67,952620,1158398,536892,624943,925999,942395,888227,904574,475931,484301,79,128,1364,1423,374470,393956
Kabupaten Pangandaran,69.75,69.94,73.48,73.77,1179731,1197041,648636,689789,214120,216434,213494,215946,127204,128537,11,12,428,387,394101,411174
Kota Bogor,72.02,72.25,75.65,75.96,1960500,1791592,821639,751435,533774,539250,518585,524263,259121,261868,394,373,9210,10003,571425,608949
Kota Sukabumi,70.75,70.92,74.44,74.72,1483147,1479933,665455,669919,176582,179344,174222,177066,89263,90689,93,119,7329,7428,567734,594118
Kota Bandung,72.71,72.92,76.16,76.46,2082375,2078106,866068,846344,1235134,1239053,1217809,1222500,654898,657197,905,2286,15076,15277,515396,545675
Kota Cirebon,70.61,70.82,74.31,74.61,1629708,1559130,669035,708258,169066,171202,167798,170033,86174,87292,131,154,9199,8778,467248,485613
Kota Bekasi,73.48,73.7,76.89,77.18,2488463,2569193,989869,1009460,1291982,1304296,1272959,1285961,658090,664586,821,819,11947,11671,692885,731392
Kota Depok,72.87,73.08,76.6,76.91,2304941,2538382,921597,1053945,1052652,1071173,1033283,1052176,528111,537583,532,432,9453,9605,705084,744771
Kota Cimahi,72.45,72.66,75.96,76.26,1827072,1909733,772401,823802,288362,290081,283270,285154,153772,154741,215,242,14279,13352,522281,549450
Kota Tasikmalaya,70.52,70.73,74.21,74.51,1310775,1292484,654506,671250,367563,372285,356358,361182,187530,190003,119,118,4263,4060,480341,498711
Kota Banjar,69.31,69.53,73.08,73.39,1088977,1268890,575841,653633,102081,103573,101336,102884,56274,57095,39,39,1570,1585,357210,373510
