Wilayah Jawa Barat,2021,2022
Provinsi Jawa Barat,677383,708390
Bogor,612364,709091
Sukabumi,587138,629476
Cianjur,556468,508099
Bandung,620475,570272
Garut,503987,522212
Tasikmalaya,498169,588690
Ciamis,570810,653024
Kuningan,668911,621212
Cirebon,566213,636984
Majalengka,609659,555269
Sumedang,617521,686681
Indramayu,732021,773639
Subang,650018,648749
Purwakarta,725561,678666
Karawang,650009,671524
Bekasi,788434,818803
Bandung Barat,536892,624943
Pangandaran,648636,689789
Kota Bogor,821639,751435
Kota Sukabumi,665455,669919
Kota Bandung,866068,846344
Kota Cirebon,669035,708258
Kota Bekasi,989869,1009460
Kota Depok,921597,1053945
Kota Cimahi,772401,823802
Kota Tasikmalaya,654506,671250
Kota Banjar,575841,653633





