Wilayah Jawa Barat,2019,2021,2022
Provinsi Jawa Barat,1266877,1372659,1437394
Bogor,1216394,1220669,1377576
Sukabumi,983841,1018783,1034412
Cianjur,815802,959447,867547
Bandung,1098748,1210944,1169603
Garut,838489,831102,858077
Tasikmalaya,836214,884303,985340
Ciamis,1001390,1021571,1201396
Kuningan,977930,1211685,1100726
Cirebon,858977,1016767,1135006
Majalengka,997249,1095739,1029656
Sumedang,971996,1144317,1333296
Indramayu,1036106,1248638,1254515
Subang,1065185,1154420,1230677
Purwakarta,1228740,1400487,1240484
Karawang,1224815,1242403,1276826
Bekasi,1519651,1588582,1754664
Bandung Barat,1015303,952620,1158398
Pangandaran,1067368,1179731,1197041
Kota Bogor,1747986,1960500,1791592
Kota Sukabumi,1557065,1483147,1479933
Kota Bandung,1974339,2082375,2078106
Kota Cirebon,1495050,1629708,1559130
Kota Bekasi,2147104,2488463,2569193
Kota Depok,2027984,2304941,2538382
Kota Cimahi,1755952,1827072,1909733
Kota Tasikmalaya,1212982,1310775,1292484
Kota Banjar,976593,1088977,1268890





